date,link,title
15 Apr 2019,www.dbs.com/newsroom/DBS_and_Koreas_Trade_Insurance_Corporate_sign_MOU_to_help_South_Korean_enterprises_finance_projects_in_Asia_to_support_the_regions_infrastructural_development_needs,DBS and Korea’s Trade Insurance Corporate sign MOU to help South Korean enterprises finance projects in Asia to support the region’s infrastructural development needs
15 Apr 2019,www.dbs.com/newsroom/DBS_underlines_support_to_finance_Asias_infrastructural_development_by_signing_cooperation_agreement_with_China_Export_Credit_Insurance_Corporation,DBS underlines support to finance Asia’s infrastructural development by signing cooperation agreement with China Export & Credit Insurance Corporation
28 Mar 2019,www.dbs.com/newsroom/DBS_issues_standalone_sustainability_report_first_Singapore_bank_to_do_so,"DBS issues standalone sustainability report, first Singapore bank to do so"
26 Mar 2019,www.dbs.com/newsroom/DBS_and_SIA_embark_on_wide_ranging_partnership_across_multiple_digital_platforms,DBS and SIA embark on wide-ranging partnership across multiple digital platforms
15 Mar 2019,www.dbs.com/newsroom/DBS_Private_Bank_appoints_Lee_Woon_Shiu_as_Regional_Head_of_Wealth_Planning_Family_Office_and_Insurance_Solutions,"DBS Private Bank appoints Lee Woon Shiu as Regional Head of Wealth Planning, Family Office and Insurance Solutions"
04 Mar 2019,www.dbs.com/newsroom/DBS_bank_to_expand_in_India_with_establishment_of_wholly_owned_subsidiary,DBS Bank to expand in India with establishment of wholly-owned subsidiary
18 Feb 2019,www.dbs.com/newsroom/dbs_full_year_2018_net_profit_rises_28pct_to_record_SGD_5_63_billion,DBS full-year 2018 net profit rises 28% to record SGD 5.63 billion
15 Feb 2019,www.dbs.com/newsroom/8_in_10_SMEs_want_more_business_incentives_to_help_address_urgent_challenges,8 in 10 SMEs want more business incentives to help address urgent challenges
14 Feb 2019,www.dbs.com/newsroom/DBS_sets_record_with_digital_alternatives_this_Chinese_New_Year,DBS sets record with digital alternatives this Chinese New Year
12 Feb 2019,www.dbs.com/newsroom/DBS_Hack2Hire_2019_launches_inaugural_Hack2Hire_Her_to_double_female_technologists_intake_this_year,DBS Hack2Hire 2019 launches inaugural Hack2Hire-Her to double female technologists intake this year
12 Feb 2019,www.dbs.com/newsroom/DBS_and_SMU_join_hands_to_launch_sustainability_programme,DBS and SMU join hands to launch sustainability programme
11 Feb 2019,www.dbs.com/newsroom/DBS_appoints_veteran_banker_Han_Kwee_Juan_as_Group_Head_of_Strategy_and_Planning,DBS appoints veteran banker Han Kwee Juan as Group Head of Strategy and Planning
07 Feb 2019,www.dbs.com/newsroom/DBS_named_Aseans_most_valuable_bank_brand_for_seventh_consecutive_year,DBS named Asean’s most valuable bank brand for seventh consecutive year
30 Jan 2019,www.dbs.com/newsroom/DBS_on_drive_to_Recycle_more_Waste_less_with_employees_and_public,"DBS on drive to Recycle more, Waste less with employees and public"
23 Jan 2019,www.dbs.com/newsroom/DBS_pilots_worlds_first_loadable_QR_red_packets,DBS pilots world’s first loadable QR red packets
23 Jan 2019,www.dbs.com/newsroom/DBS_leads_the_pack_as_ASEANs_strongest_brand,DBS leads the pack as ASEAN’s strongest brand
16 Jan 2019,www.dbs.com/newsroom/DBS_named_to_Bloomberg_Gender_Equality_Index_GEI_for_second_consecutive_year,DBS named to Bloomberg Gender-Equality Index (GEI) for second consecutive year
14 Jan 2019,www.dbs.com/newsroom/POSB_new_notes_pop_up_ATMs_For_Chinese_New_Year_2019_CNY_2019,POSB new notes pop-up ATMs for Chinese New Year 2019 (CNY 2019)
09 Jan 2019,www.dbs.com/newsroom/DBS_introduces_DBS_SME_Connect_portal_to_help_accelerate_SMEs_digitalisation_efforts,DBS introduces DBS SME Connect portal to help accelerate SME’s digitalisation efforts
09 Jan 2019,www.dbs.com/newsroom/Institute_of_Technical_Education_ITE_and_DBS_partner_on_ITE_wide_financial_literacy_curriculum,Institute of Technical Education (ITE) and DBS partner on ITE-wide financial literacy curriculum
17 Dec 2018,www.dbs.com/newsroom/DBS_partners_China_Capital_Logistic_and_Wanxiang_to_launch_an_end_to_end_blockchain_trade_platform_for_the_automotive_industry,DBS partners China Capital Logistic and Wanxiang to launch an end-to-end blockchain trade platform for the automotive industry
17 Dec 2018,www.dbs.com/newsroom/DBS_partners_Halcyon_to_set_up_HeveaConnect_a_digital_trading_marketplace_for_sustainable_rubber,DBS partners Halcyon to set up HeveaConnect - a digital trading marketplace for sustainable rubber
30 Nov 2018,www.dbs.com/newsroom/DBS_named_Global_Bank_of_the_Year,"DBS named Global Bank of the Year by leading Financial Times publication, The Banker"
27 Nov 2018,www.dbs.com/newsroom/DBS_Private_Bank_announces_five_year_wealth_expansion_plan_in_the_Middle_East,DBS Private Bank announces five-year wealth expansion plan in the Middle East
26 Nov 2018,www.dbs.com/newsroom/DBS_inks_MOU_with_UnionPay_International,DBS inks MOU with UnionPay International
20 Nov 2018,www.dbs.com/newsroom/DBS_signs_MOU_to_support_growth_and_innovation_of_financial_services_in_Suzhou_Jiangsu,"DBS signs MOU to support growth and innovation of financial services in Suzhou, Jiangsu"
20 Nov 2018,www.dbs.com/newsroom/DBS_strengthens_transaction_banking_team_with_new_appointments,DBS strengthens transaction banking team with new appointments
15 Nov 2018,www.dbs.com/newsroom/DBS_works_with_National_Council_of_Social_Service_Media_Literacy_Council_Institute_of_Technical_Education_and_Chubb_to_launch_cyber_wellness_movement,"DBS works with National Council of Social Service, Media Literacy Council, Institute of Technical Education & Chubb to launch cyber wellness movement"
13 Nov 2018,www.dbs.com/newsroom/DBS_announces_senior_level_appointments_grooms_talent_from_within,"DBS announces senior-level appointments, grooms talent from within"
12 Nov 2018,www.dbs.com/newsroom/DBS_and_GO_JEK_enter_into_regional_strategic_partnership_ahead_of_GO_JEKs_arrival_in_Singapore,DBS and GO-JEK enter into regional strategic partnership ahead of GO-JEK’s arrival in Singapore
08 Nov 2018,www.dbs.com/newsroom/DBS_to_launch_Singapores_first_mobile_based_QR_payment_collection_solution_to_improve_cash_flows_for_SMEs,DBS to launch Singapore’s first mobile-based QR payment collection solution to improve cash flows for SMEs
07 Nov 2018,www.dbs.com/newsroom/DBS_bags_its_second_global_SME_award_this_year,DBS bags its second global SME award this year
05 Nov 2018,www.dbs.com/newsroom/DBS_third_quarter_net_profit_rises_to_SGD1_41_billion_total_income_up_10pct_to_record_SGD_3_38_billion,"DBS third-quarter net profit rises to SGD 1.41 billion, total income up 10% to record SGD 3.38 billion"
01 Nov 2018,www.dbs.com/newsroom/Agrocorp_taps_into_DBS_APIs_to_launch_blockchain_trade_platform_for_commodity_trade,Agrocorp taps into DBS’ APIs to launch blockchain trade platform for commodity trade
30 Oct 2018,www.dbs.com/newsroom/DBS_launches_startup_matching_platform_to_help_the_bank_and_its_customers_harness_the_power_of_emerging_technologies,DBS launches startup matching platform to help the bank and its customers harness the power of emerging technologies
25 Oct 2018,www.dbs.com/newsroom/DBS_makes_foray_into_chat_commerce_with_Foodster___Southeast_Asias_first_bank_led_retail_chatbot,"DBS makes foray into chat commerce with ""Foodster"" - Southeast Asia's first bank-led retail chatbot"
10 Oct 2018,www.dbs.com/newsroom/DBS_further_entrenches_its_support_of_social_enterprises_in_Singapore,DBS further entrenches its support of social enterprises in Singapore
04 Oct 2018,www.dbs.com/newsroom/DBS_reinforces_commitment_in_sustainable_finance_with_Asias_first_real_estate_sustainability_linked_loan,DBS reinforces commitment in sustainable finance with Asia’s first real estate sustainability-linked loan
02 Oct 2018,www.dbs.com/newsroom/DBS_POSB_first_in_Singapore_to_provide_instant_approval_for_credit_cards_DBS_Cashline_via_MyInfo,DBS/POSB first in Singapore to provide instant approval for credit cards & DBS Cashline via MyInfo
02 Oct 2018,www.dbs.com/newsroom/DBS_first_bank_in_southeast_Asia_included_in_Dow_Jones_Sustainability_Index_Asia_Pacific,DBS – First bank in Southeast Asia included in Dow Jones Sustainability Index (Asia Pacific)
26 Sep 2018,www.dbs.com/newsroom/Singapore_based_IIX_partners_with_DBS_Bank_to_set_up_the_Womens_Livelihood_Bond_Program_targeting_USD100_million,Singapore-based IIX partners with DBS Bank to set up the Women’s Livelihood Bond Program targeting US$100 million
24 Sep 2018,www.dbs.com/newsroom/DBS_named_Asias_Safest_Bank_for_10th_consecutive_year,DBS named Asia’s Safest Bank for 10th consecutive year
11 Sep 2018,www.dbs.com/newsroom/DBS_wealth_clients_can_now_use_WhatsApp_and_WeChat_for_banking_services,DBS wealth clients can now use WhatsApp and WeChat for banking services
31 Aug 2018,www.dbs.com/newsroom/DBS_names_Tham_Sai_Choy_to_Board_of_Directors,DBS names Tham Sai Choy to Board of Directors
29 Aug 2018,www.dbs.com/newsroom/DBS_Foundation_awards_SGD_1_25_million_in_grants_to_12_social_enterprises_across_Asia,DBS Foundation awards SGD 1.25 million in grants to 12 social enterprises across Asia
24 Aug 2018,www.dbs.com/newsroom/DBS_named_Best_Bank_in_the_World,DBS named Best Bank in the World
21 Aug 2018,www.dbs.com/newsroom/DBS_and_Singtel_join_hands_to_give_SMEs_a_boost_in_navigating_technological_shifts_in_the_economy,DBS and Singtel join hands to give SMEs a boost in navigating technological shifts in the economy
10 Aug 2018,www.dbs.com/newsroom/DBS_and_Wilmar_sign_USD_100_million_sustainability_linked_loan,DBS and Wilmar sign USD 100 million sustainability-linked loan
10 Aug 2018,www.dbs.com/newsroom/DBS_pledges_to_keep_digital_adoption_costs_low_and_affordable_for_SMEs_and_corporates_helping_them_to_realise_their_digital_ambitions,"DBS pledges to keep digital adoption costs low and affordable for SMEs and corporates, helping them to realise their digital ambitions"
06 Aug 2018,www.dbs.com/newsroom/DBS_commissioned_Sparks_The_Musical_to_commemorate_Golden_Jubilee,"DBS commissioned ""Sparks: The Musical"" to commemorate Golden Jubilee"
02 Aug 2018,www.dbs.com/newsroom/DBS_continues_to_dominate_as_Singapores_most_valuable_brand_for_sixth_year_running,DBS continues to dominate as Singapore’s most valuable brand for sixth-year running
02 Aug 2018,www.dbs.com/newsroom/DBS_first_half_net_profit_up_23pct_to_record_SGD_2_89_billion,DBS first-half net profit up 23% to record SGD 2.89 billion
24 Jul 2018,www.dbs.com/newsroom/DBS_launches_Southeast_Asias_largest_bank_led_property_marketplace,DBS launches Southeast Asia's largest bank-led property marketplace
18 Jul 2018,www.dbs.com/newsroom/DBS_wins_top_honours_at_the_Singapore_Corporate_Awards,DBS wins top honours at the Singapore Corporate Awards
13 Jul 2018,www.dbs.com/newsroom/DBS_ASIAN_INSIGHTS_CONFERENCE_2018_REIMAGINING_ASIA_2030,DBS Asian Insights Conference 2018 reimagining Asia 2030
12 Jul 2018,www.dbs.com/newsroom/DBS_named_Worlds_Best_Digital_Bank,DBS named World's Best Digital Bank
09 Jul 2018,www.dbs.com/newsroom/DBS_adds_to_50th_anniversary_gifts_offers_free_WIFI_on_selected_buses,DBS adds to 50th anniversary gifts; offers free WIFI on selected buses
06 Jul 2018,www.dbs.com/newsroom/DBS_adds_to_line_up_of_stakeholder_benefits_in_50th_year_with_SGD_500_presented_to_every_employee,DBS adds to line-up of stakeholder benefits in 50th year with SGD 500 presented to every employee
29 Jun 2018,www.dbs.com/newsroom/DBS_appoints_DBS_veteran_Tan_Teck_Long_as_Chief_Risk_Officer,DBS appoints DBS veteran Tan Teck Long as Chief Risk Officer
14 Jun 2018,www.dbs.com/newsroom/DBS_introduces_Jim_Southeast_Asias_first_virtual_bank_recruiter,"DBS introduces Jim, Southeast Asia’s first virtual bank recruiter"
15 May 2018,www.dbs.com/newsroom/DBS_signals_time_has_come_for_new_kind_of_banking,DBS signals time has come for new kind of banking
14 May 2018,www.dbs.com/newsroom/DBS_invests_in_mobile_and_online_classifieds_marketplace_Carousell,DBS invests in mobile and online classifieds marketplace Carousell
08 May 2018,www.dbs.com/newsroom/DBS_launches_Singapore_first_holistic_digital_financial_advisor_Your_Financial_GPS,"DBS launches Singapore's first holistic digital financial advisor ""Your Financial GPS"""
05 May 2018,www.dbs.com/newsroom/Yishun_Riverwalk_Residents_Committee_RC_POSB_and_Republic_Polytechnic_come_together_for_the_pilot_launch_of_POSB_Smart_Senior_programme,"Yishun Riverwalk Residents' Committee (RC), POSB and Republic Polytechnic come together for the pilot launch of “POSB Smart Senior” programme"
30 Apr 2018,www.dbs.com/newsroom/DBS_first_quarter_net_profit_up_26pct_to_record_SGD_1_52_billion_return_on_equity_rises_to_13pct,"DBS first-quarter net profit up 26% to record SGD 1.52 billion, return on equity rises to 13%, highest in decade"
26 Apr 2018,www.dbs.com/newsroom/DBS_accelerates_transition_to_renewable_energy,DBS accelerates transition to renewable energy
25 Apr 2018,www.dbs.com/newsroom/DBS_extends_support_to_two_more_local_athletes_to_help_them_achieve_their_Olympic_dreams,DBS extends support to two more local athletes to help them achieve their Olympic dreams
24 Apr 2018,www.dbs.com/newsroom/DBS_names_Bonghan_Cho_to_Board_of_Directors,DBS names Bonghan Cho to Board of Directors
23 Apr 2018,www.dbs.com/newsroom/DBS_launches_real_time_digital_cross_border_payment_tracking_for_all_corporate_and_SME_clients,DBS launches real-time digital cross-border payment tracking for all corporate and SME clients
12 Apr 2018,www.dbs.com/newsroom/DBS_launches_online_remittance_service_SmartSend_for_non_DBS_customers,"DBS launches online remittance service ""SmartSend"" for non-DBS customers"
11 Apr 2018,www.dbs.com/newsroom/DBS_Marina_Regatta_returns_bigger_than_ever_as_DBS_celebrates_its_Golden_Jubilee,DBS' Marina Regatta returns bigger than ever as DBS celebrates its Golden Jubilee
05 Apr 2018,www.dbs.com/newsroom/DBS_targets_30pct_reduction_in_corporate_cheque_payments_by_2020,DBS targets 30% reduction in corporate cheque payments by 2020
05 Apr 2018,www.dbs.com/newsroom/DBS_Group_Holdings_Ltd_prices_its_inaugural_EUR_Tier_2_offering,DBS Group Holdings Ltd prices its inaugural EUR Tier 2 offering
02 Apr 2018,www.dbs.com/newsroom/DBS_and_Joseph_Schooling_team_up_to_inspire_youths_and_the__young_at_heart_to_achieve_their_dreams,DBS and Joseph Schooling team up to inspire youths and the  young-at-heart to achieve their dreams
27 Mar 2018,www.dbs.com/newsroom/DBS_aims_to_hire_another_100_of_the_best_emerging_technology_talents,DBS aims to hire another 100 of the best emerging technology talents
20 Mar 2018,www.dbs.com/newsroom/DBS_launches_DBS_Electricity_Marketplace_which_allows_consumers_to_make_seamless_switch_of_electricity_retailers,DBS launches DBS Electricity Marketplace which allows consumers to make seamless switch of electricity retailers
08 Mar 2018,www.dbs.com/newsroom/DBS_Group_Holdings_Ltds_inaugural_AUD_Basel_III_Tier_2_offering_attracts_strong_interest,DBS Group Holdings Ltd's inaugural AUD Basel III Tier 2 offering attracts strong interest
02 Mar 2018,www.dbs.com/newsroom/At_50_DBS_unveils_new_look,"At 50, DBS unveils new look"
01 Mar 2018,www.dbs.com/newsroom/Three_in_four_SMEs_in_Singapore_unfazed_by_proposed_GST_hikes,Three in four SMEs in Singapore unfazed by proposed GST hikes
22 Feb 2018,www.dbs.com/newsroom/MIGRANT_WORKERS_CENTRE_POSB_AND_MERCHANT_PARTNERS_COME_TOGETHER_IN_FIRST_OF_ITS_KIND_MEMBERSHIP_PROGRAMME_TO_BENEFIT_UNDER_SERVED_MIGRANT_WORKER_COMMUNITY,"Migrant workers centre, POSB and merchant partners come together in first-of-its-kind membership programme to benefit under-served migrant worker community"
13 Feb 2018,www.dbs.com/newsroom/DBS_and_NTU_team_up_to_train_Singapores_next_generation_of_wealth_management_talent,DBS and NTU team up to train Singapore’s next generation of wealth management talent
12 Feb 2018,www.dbs.com/newsroom/DBS_completes_acquisition_of_ANZs_wealth_management_and_retail_banking_business_in_five_markets,DBS completes acquisition of ANZ's wealth management and retail banking business in five markets
11 Feb 2018,www.dbs.com/newsroom/DBS_SME_Banking_establishes_retail_FandB_coverage_team_to_cater_to_more_companies_expanding_overseas,DBS SME Banking establishes retail F&B coverage team to cater to more companies expanding overseas
09 Feb 2018,www.dbs.com/newsroom/DBS_celebrates_the_spark_in_its_people_with_limited_edition_jewellery_collection,DBS celebrates the spark in its people with limited-edition jewellery collection
08 Feb 2018,www.dbs.com/newsroom/DBS_full_year_2017_net_profit_rises_4pct_to_record_SGD_4_39_billion,DBS full-year 2017 net profit rises 4% to record SGD 4.39 billion
02 Feb 2018,www.dbs.com/newsroom/DBS_is_ASEANs_top_bank_brand_for_sixth_consecutive_year,DBS is ASEAN’s top bank brand for sixth consecutive year
26 Jan 2018,www.dbs.com/newsroom/DBS_shares_sustainability_commitments_addressing_climate_change,DBS shares sustainability commitments addressing climate change
24 Jan 2018,www.dbs.com/newsroom/DBS_and_POSB_Pop_up_ATMs_for_Chinese_New_Year_in_2018_CNY,DBS and POSB Pop-Up ATMs for Chinese New Year in 2018 (CNY)
23 Jan 2018,www.dbs.com/newsroom/DBS_to_help_SMEs_simplify_bill_payments,DBS to help SMEs simplify bill payments
23 Jan 2018,www.dbs.com/newsroom/DBS_makes_Bloomberg_s_global_gender_equality_index,DBS makes Bloomberg’s global gender-equality index
11 Jan 2018,www.dbs.com/newsroom/DBS_Foundation_awards_SGD_1_1_million_in_grants_to_14_social_enterprises_across_Asia,DBS Foundation awards SGD 1.1 million in grants to 14 social enterprises across Asia
03 Jan 2018,www.dbs.com/newsroom/DBS_statement_on_erroneous_digibank_reporting,DBS statement on erroneous digibank reporting
02 Jan 2018,www.dbs.com/newsroom/DBS_and_Chubb_officially_launch_15_year_regional_general_insurance_distribution_partnership,DBS and Chubb officially launch 15-year regional general insurance distribution partnership
30 Nov 2017,www.dbs.com/newsroom/DBS_Bank_accelerates_digitalisation_transformation_with_robotics_programme,DBS Bank accelerates digitalisation transformation with robotics programme
21 Nov 2017,www.dbs.com/newsroom/DBS_collaborates_with_cloud_leader_Amazon_Web_Services_to_deepen_cloud_engineering_talent_pool,DBS collaborates with cloud leader Amazon Web Services to deepen cloud engineering talent pool
15 Nov 2017,www.dbs.com/newsroom/Annual_ASEAN_green_investment_needs_to_grow_400pct_to_guard_against_environmental_risks,Annual ASEAN green investment needs to grow 400% to guard against environmental risks
13 Nov 2017,www.dbs.com/newsroom/First_bank_in_Singapore_to_launch_new_cloud_based_data_centre,First bank in Singapore to launch new cloud-based data centre
10 Nov 2017,www.dbs.com/newsroom/DBS_reimagines_banking_with_lifestyle_space_for_tech_generation,"DBS reimagines banking with lifestyle space for ""tech"" generation"
07 Nov 2017,www.dbs.com/newsroom/DBS_names_Olivier_Lim_to_Board_of_Directors,DBS names Olivier Lim to Board of Directors
06 Nov 2017,www.dbs.com/newsroom/DBS_third_quarter_earnings_at_SGD_822_Million_quarterly_total_income_crosses_SGD_3_Billion_for_first_time,"DBS third-quarter earnings at SGD 822 million, quarterly total income crosses SGD 3 billion for first time"
02 Nov 2017,www.dbs.com/newsroom/Reimagining_banking_DBS_launches_worlds_largest_banking_API_developer_platform,"Reimagining banking, DBS launches world’s largest banking API developer platform"
01 Nov 2017,www.dbs.com/newsroom/DBS_launches_enhanced_DBS_Multiplier_Account,DBS launches enhanced DBS Multiplier Account
31 Oct 2017,www.dbs.com/newsroom/DBS_to_proactively_re_skill_1500_employees_to_equip_them_with_new_skills_and_competencies_to_be_future_ready,"DBS to proactively re-skill 1,500 employees to equip them with new skills and competencies to be future-ready"
17 Oct 2017,www.dbs.com/newsroom/DBS_to_help_businesses_save_on_foreign_exchange_costs,DBS to help businesses save on foreign exchange costs
06 Oct 2017,www.dbs.com/newsroom/DBS_appoints_Taimur_Baig_as_new_chief_economist,DBS appoints Taimur Baig as new chief economist
04 Oct 2017,www.dbs.com/newsroom/Top_entrepreneurs_of_2017_SVC_Asia_set_to_make_social_impact_targeting_educational_healthcare_agricultural_and_environmental_sectors,"Top entrepreneurs of 2017 SVC Asia set to make social impact targeting educational, healthcare, agricultural and environmental sectors"
04 Oct 2017,www.dbs.com/newsroom/DBS_launches_worlds_first_online_simulation_tool_to_help_CFOs_and_Corporate_Treasurers_design_and_derive_optimised_cash_management_solutions,DBS launches world’s first online simulation tool to help CFOs and Corporate Treasurers design and derive optimised cash management solutions
28 Sep 2017,www.dbs.com/newsroom/DBS_and_Chubb_form_15_year_regional_general_insurance_distribution_partnership,DBS and Chubb form 15-year regional general insurance distribution partnership
19 Sep 2017,www.dbs.com/newsroom/DBS_wins_big_at_SIAS_Investors_Choice_Awards,DBS wins big at SIAS Investors' Choice Awards
18 Sep 2017,www.dbs.com/newsroom/DBS_strengthens_fast_growing_Global_Transaction_Services_business_with_senior_management_hire,DBS strengthens fast-growing Global Transaction Services business with senior management hire
15 Sep 2017,www.dbs.com/newsroom/DBS_and_IMDA_introduce_industry_first_TeSA_Fintech_programme_to_train_young_professionals_in_deep_technology_skills,DBS and IMDA introduce industry-first TeSA Fintech programme to train young professionals in deep technology skills
14 Sep 2017,www.dbs.com/newsroom/DBS_named_Asias_Safest_Bank_for_ninth_consecutive_year,DBS named Asia’s Safest Bank for ninth consecutive year
13 Sep 2017,www.dbs.com/newsroom/DBS_is_first_Asian_bank_and_first_Singapore_company_to_join_global_renewable_energy_initiative_RE100,DBS is first Asian bank and first Singapore company to join global renewable energy initiative RE100
12 Sep 2017,www.dbs.com/newsroom/Corporates_and_SMEs_can_now_track_their_cross_border_payments_with_DBS_new_service,Corporates and SMEs can now track their cross-border payments with DBS' new service
06 Sep 2017,www.dbs.com/newsroom/DBS_wins_prestigious_Best_of_the_Best_Employer_Award_from_Aon_Hewitt,DBS wins prestigious 'Best of the Best' Employer Award from Aon Hewitt
04 Sep 2017,www.dbs.com/newsroom/DBS_receives_approval_to_establish_wholly_owned_local_subsidiary_in_India,DBS receives approval to establish wholly-owned local subsidiary in India
29 Aug 2017,www.dbs.com/newsroom/DBS_launches_digibank_an_entire_bank_in_the_phone_in_Indonesia,"DBS launches digibank, an entire bank in the phone, in Indonesia"
21 Aug 2017,www.dbs.com/newsroom/DBS_to_invest_SGD20_million_over_five_years_to_transform_employees_into_digital_workforce_in_support_of_Singapores_aim_to_be_smart_financial_centre,"DBS to invest SGD20 million over five years to transform employees into digital workforce, in support of Singapore’s aim to be smart financial centre"
16 Aug 2017,www.dbs.com/newsroom/Worlds_first_in_school_wearable_tech_savings_and_payments_programme_POSB_Smart_Buddy_launches_in_19_schools,POSB Smart Buddy - World’s first in-school wearable tech savings & payments programme launches in 19 schools
10 Aug 2017,www.dbs.com/newsroom/DBS_partners_sgCarMart_and_Carro_to_create_Singapores_largest_direct_buyer_to_seller_car_marketplace,DBS partners sgCarMart and Carro to create Singapore’s largest direct buyer-to-seller car marketplace
08 Aug 2017,www.dbs.com/newsroom/DBS_is_first_Singapore_bank_to_join_global_sustainability_index,DBS is first Singapore bank to join global sustainability index
08 Aug 2017,www.dbs.com/newsroom/DBS_is_first_Singapore_bank_to_join_global_sustainability_index,DBS is first Singapore bank to join global sustainability index
07 Aug 2017,www.dbs.com/newsroom/DBS_completes_migration_of_ANZs_wealth_management__and_retail_banking_business_in_Singapore,DBS completes migration of ANZ’s wealth management  and retail banking business in Singapore
04 Aug 2017,www.dbs.com/newsroom/DBS_FIRST_HALF_EARNINGS_RISE_4PCT_TO_RECORD_SGD_2_35_BILLION,DBS first-half earnings rise 4% to record SGD 2.35 billion
01 Aug 2017,www.dbs.com/newsroom/DBS_and_Xero_launch_new_service_for_SMEs_to_instantly_link_their_DBS_bank_accounts_with_Xeros_cloud_accounting_platform,DBS and Xero launch new service for SMEs to instantly link their DBS bank accounts with Xero’s cloud accounting platform
31 Jul 2017,www.dbs.com/newsroom/DBS_appoints_new_Digital_Head_for_its_Institutional_Banking_business,DBS appoints new Digital Head for its Institutional Banking business
28 Jul 2017,www.dbs.com/newsroom/DBS_appoints_Hou_Wey_Fook_as_Chief_Investment_Officer_of_Consumer_Banking_and_Wealth_Management,DBS appoints Hou Wey Fook as Chief Investment Officer of Consumer Banking and Wealth Management
24 Jul 2017,www.dbs.com/newsroom/DBS_launches_portal_to_help_entrepreneurs_set_up_their_business_in_a_day,DBS launches portal to help entrepreneurs set up their business in a day
19 Jul 2017,www.dbs.com/newsroom/DBS_Group_Holdings_Ltds_first_green_bond_offering_attracts_strong_interest,DBS Group Holdings Ltd’s first green bond offering attracts strong interest
11 Jul 2017,www.dbs.com/newsroom/DBS_Private_Bank_appoints_John_Ng_as_head_of_portfolio_counselling_and_product_strategy,DBS Private Bank appoints John Ng as head of portfolio counselling & product strategy
06 Jul 2017,www.dbs.com/newsroom/IIX_and_DBS_close_worlds_first_listed_social_sustainability_bond,IIX and DBS close world’s first listed social sustainability bond
05 Jul 2017,www.dbs.com/newsroom/MSIG_and_DBS_collaborate_to_bring_instant_travel_claims_payments_to_Singapore,MSIG and DBS collaborate to bring instant travel claims payments to Singapore
